Run_ID,Critical_Start_Node,Max_Impact,Winner_Start,Winner_Total_Impact,Path_Length,Attack_Path
1,13,4.6754,13,4.6754,6,13|12|11|8|2|1
2,13,4.6763,13,4.6763,6,13|12|11|8|2|1
3,13,4.4094,13,4.4094,6,13|12|11|8|2|1
4,13,4.6745,13,4.6745,6,13|12|11|8|2|1
5,13,4.4075,13,4.4075,6,13|12|11|8|2|1
6,13,4.4084,13,4.4084,6,13|12|11|8|2|1
7,13,4.7415,13,4.7415,6,13|12|11|8|2|1
8,13,4.4066,13,4.4066,6,13|12|11|8|2|1
9,13,4.5396,13,4.5396,6,13|12|11|8|2|1
10,13,4.5405,13,4.5405,6,13|12|11|8|2|1
11,13,4.4736,13,4.4736,6,13|12|11|8|2|1
12,13,4.7387,13,4.7387,6,13|12|11|8|2|1
13,13,4.6717,13,4.6717,6,13|12|11|8|2|1
14,13,4.4727,13,4.4727,6,13|12|11|8|2|1
15,13,4.6057,13,4.6057,6,13|12|11|8|2|1
16,13,4.6140,13,4.6140,6,13|12|11|8|2|1
17,13,4.7470,13,4.7470,6,13|12|11|8|2|1
18,13,4.7479,13,4.7479,6,13|12|11|8|2|1
19,13,4.4809,13,4.4809,6,13|12|11|8|2|1
20,13,4.5461,13,4.5461,6,13|12|11|8|2|1
21,13,4.8791,13,4.8791,6,13|12|11|8|2|1
22,13,4.6800,13,4.6800,6,13|12|11|8|2|1
23,13,4.6130,13,4.6130,6,13|12|11|8|2|1
24,13,4.6782,13,4.6782,6,13|12|11|8|2|1
25,13,4.4112,13,4.4112,6,13|12|11|8|2|1
26,13,4.6121,13,4.6121,6,13|12|11|8|2|1
27,13,4.7451,13,4.7451,6,13|12|11|8|2|1
28,13,4.4103,13,4.4103,6,13|12|11|8|2|1
29,13,4.3433,13,4.3433,6,13|12|11|8|2|1
30,13,4.5442,13,4.5442,6,13|12|11|8|2|1
31,13,4.6773,13,4.6773,6,13|12|11|8|2|1
32,13,4.7992,13,4.7992,6,13|12|11|8|2|1
33,13,4.7323,13,4.7323,6,13|12|11|8|2|1
34,13,4.3332,13,4.3332,6,13|12|11|8|2|1
35,13,4.6662,13,4.6662,6,13|12|11|8|2|1
36,13,4.7313,13,4.7313,6,13|12|11|8|2|1
37,13,4.6644,13,4.6644,6,13|12|11|8|2|1
38,13,4.6653,13,4.6653,6,13|12|11|8|2|1
39,13,4.7983,13,4.7983,6,13|12|11|8|2|1
40,13,4.6635,13,4.6635,6,13|12|11|8|2|1
41,13,4.5965,13,4.5965,6,13|12|11|8|2|1
42,13,4.5974,13,4.5974,6,13|12|11|8|2|1
