Run_ID,Critical_Start_Node,Max_Impact,Winner_Start,Winner_Total_Impact,Path_Length,Attack_Path
1,13,4.7919,13,4.7919,6,13|12|11|8|2|1
2,13,4.8767,13,4.8767,6,13|12|11|8|2|1
3,13,4.1281,13,4.1281,6,13|12|11|8|2|1
4,13,4.9235,13,4.9235,6,13|12|11|8|2|1
5,17,4.4491,17,4.4491,5,17|16|6|5|4
6,13,4.0496,13,4.0496,6,13|12|11|8|2|1
7,13,5.1073,13,5.1073,6,13|12|11|8|2|1
8,13,4.1198,13,4.1198,6,13|12|11|8|2|1
9,13,4.5189,13,4.5189,6,13|12|11|8|2|1
10,13,4.5216,13,4.5216,6,13|12|11|8|2|1
11,13,4.3207,13,4.3207,6,13|12|11|8|2|1
12,13,5.0137,13,5.0137,6,13|12|11|8|2|1
13,13,4.8841,13,4.8841,6,13|12|11|8|2|1
14,13,4.3180,13,4.3180,6,13|12|11|8|2|1
15,13,4.4776,13,4.4776,6,13|12|11|8|2|1
16,13,4.8276,13,4.8276,6,13|12|11|8|9|10
17,13,5.1410,13,5.1410,6,13|12|11|8|2|1
18,13,5.0960,13,5.0960,6,13|12|11|8|2|1
19,13,4.3428,13,4.3428,6,13|12|11|8|2|1
20,13,4.5306,13,4.5306,6,13|12|11|8|2|1
21,13,5.4082,13,5.4082,6,13|12|11|8|2|1
22,13,4.9400,13,4.9400,6,13|12|11|8|2|1
23,13,4.7391,13,4.7391,6,13|12|11|8|2|1
24,13,4.8069,13,4.8069,6,13|12|11|8|2|1
25,13,4.1305,13,4.1305,6,13|12|11|8|2|1
26,13,4.7074,13,4.7074,6,13|12|11|8|2|1
27,13,4.9755,13,4.9755,6,13|12|11|8|2|1
28,17,4.2014,17,4.2014,5,17|16|6|5|4
29,13,3.9299,13,3.9299,6,13|12|11|8|2|1
30,13,4.5327,13,4.5327,6,13|12|11|8|2|1
31,13,4.8934,13,4.8934,6,13|12|11|8|2|1
32,13,5.1800,13,5.1800,6,13|12|11|8|2|1
33,13,4.9490,13,4.9490,6,13|12|11|8|2|1
34,13,3.8996,13,3.8996,6,13|12|11|8|2|1
35,13,4.8986,13,4.8986,6,13|12|11|8|2|1
36,13,5.0330,13,5.0330,6,13|12|11|8|2|1
37,13,4.8931,13,4.8931,6,13|12|11|8|2|1
38,13,4.8953,13,4.8953,6,13|12|11|8|2|1
